season,sport,sex,division,school
fall,Cross Country,M,Carey,Newton North
fall,Cross Country,M,Herget,Needham
fall,Cross Country,F,Carey,Brookline
fall,Cross Country,F,Herget,Weymouth
fall,Field Hockey,F,Carey,Wellesley
fall,Field Hockey,F,Herget,Walpole
fall,Football,M,Carey,Natick
fall,Football,M,Herget,Milton
fall,Golf,M,Carey,Wellesley
fall,Golf,M,Herget,Needham
fall,Soccer,M,Carey,Newton North
fall,Soccer,M,Herget,Needham
fall,Soccer,F,Carey,Natick
fall,Soccer,F,Herget,Needham
fall,Swimming & Diving,F,Carey,Wellesley
fall,Swimming & Diving,F,Herget,Milton
fall,Swimming & Diving,F,Herget,Needham
fall,Volleyball,F,Carey,Newton North
fall,Volleyball,F,Herget,Needham
winter,Basketball,M,Carey,Newton North
winter,Basketball,M,Herget,Needham
winter,Basketball,F,Carey,Brookline
winter,Basketball,F,Carey,Natick
winter,Basketball,F,Herget,Walpole
winter,Gymnastics,F,Carey,Framingham
winter,Gymnastics,F,Herget,Weymouth
winter,Ice Hockey,M,Carey,Wellesley
winter,Ice Hockey,M,Herget,Braintree
winter,Ice Hockey,F,Carey,Natick
winter,Ice Hockey,F,Herget,Braintree
winter,Indoor Track & Field,M,Carey,Newton North
winter,Indoor Track & Field,M,Herget,Needham
winter,Indoor Track & Field,F,Carey,Wellesley
winter,Indoor Track & Field,F,Herget,Walpole
winter,Swimming & Diving,M,,Needham
winter,Wrestling,M,Carey,Natick
winter,Wrestling,M,Herget,Milton
spring,Baseball,M,Carey,Natick
spring,Baseball,M,Carey,Newton North
spring,Baseball,M,Herget,Milton
spring,Golf,F,Carey,Wellesley
spring,Golf,F,Herget,Walpole
spring,Lacrosse,M,Carey,Natick
spring,Lacrosse,M,Herget,Needham
spring,Lacrosse,F,Carey,Wellesley
spring,Lacrosse,F,Herget,Walpole
spring,Outdoor Track & Field,M,Carey,Newton North
spring,Outdoor Track & Field,M,Herget,Needham
spring,Outdoor Track & Field,F,Carey,Wellesley
spring,Outdoor Track & Field,F,Herget,Weymouth
spring,Softball,F,Carey,Newton North
spring,Softball,F,Herget,Walpole
spring,Tennis,M,Carey,Brookline
spring,Tennis,M,Herget,Needham
spring,Tennis,F,Carey,Brookline
spring,Tennis,F,Herget,Braintree
spring,Tennis,F,Herget,Needham
spring,Volleyball,M,Carey,Natick
spring,Volleyball,M,Herget,Needham
